title,released_year,duration,genre,description,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,api_error,totalSeasons,imageid,format
Shiva                                    ,1990,2h 41m  ,Action         ,"While the students' union president and thug club make the college climate ferocious, Shiva, a collegiate, is obliged to face them.",N/A,07 Dec 1990,162 min,"Action, Crime, Drama",Ram Gopal Varma,"Iqbal Durrani, Ram Gopal Varma","Nagarjuna Akkineni, Amala Akkineni, Raj Zutshi","Shiva, a fresher at VAC College, is forced to stand up against the students' union president and a group of gangsters who have made the college environment increasingly violent.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BODA5NzIyMDEtZDk5Mi00OGVkLTlmYjYtYjc1MWJhZjIwNTYxXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.9/10""}]",N/A,7.9,104,tt14984074,movie,N/A,N/A,N/A,N/A,,,0011,jpg
Deewana                                  ,1992,2h 37m  ,Romance        ,"A grieving widow Kajal crosses paths with Raja, who falls head over heels in love with her. But chaos ensues when her husband Ravi returns from the dead.",Not Rated,25 Jun 1992,185 min,"Action, Comedy, Drama",Raj Kanwar,"Ranbir Pushp, Sagar Sarhadi","Rishi Kapoor, Divya Bharti, Shah Rukh Khan","Kajal is a beautiful and talented young woman who loves songs and dances and attends various shows. At one of the shows she attended she gets to meet Ravi, a popular singer and both are head over heel in love with each other and they soon got married. Kajal relocates to Ravi's parental mansion and is all welcome as a bride there. But soon her marriage life goes over the board when Ravi's scheming cousin and uncle has him killed. Unable to bear the shock Kajal relocates to a different city and gets to meet the wealthy and care-free Raja Sahai, who proposes marriage to her but she refuses and wants to live as Ravi's widow but destiny has other plans for her.",Hindi,India,5 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BMDQyZTVjNDEtYzAxMC00N2VlLTgyNjEtMzM2MzM2YTlmMjUxXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.7/10""}]",N/A,6.7,"7,630",tt0126871,movie,N/A,N/A,N/A,N/A,,,0012,jpg
Hum Hain Rahi Pyar Ke                    ,1993,2h 37m  ,Comedy         ,"Rahul is the guardian of his mischievous nephews, Sunny and Vicky, and a niece, Munni. Chaos ensues when the kids decide to shelter a runaway girl, Vyjayanti.",N/A,05 Jul 1993,163 min,"Comedy, Drama, Romance",Mahesh Bhatt,"Robin Bhatt, Aamir Khan, Sujit Sen","Aamir Khan, Juhi Chawla, Sharokh Bharucha","Rahul Malhotra (Aamir Khan) is the manager of the heavily in debt family business. He is also the guardian of his dead sister's mischievous kids. Rahul hires Vaijayanti (Juhi Chawla) as governess. Vaijayanti is a runaway from home as she does not want to marry the man her orthodox family has chosen for her. Predictably, Rahul and Vaijayanti fall in love. Maya (Navneet Nishan), a rich girl in love with Rahul tries to ruin his family and his business.",Hindi,India,5 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNTk5NmU0ZDgtODU5Zi00MTExLTk2MDgtYTg1MDhlMTkwN2Q1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""7.3/10""}]",N/A,7.3,"6,310",tt0107166,movie,N/A,N/A,N/A,N/A,,,0013,
Waqt Hamara Hai                          ,1993,2h 25m  ,Action         ,"Friends Vikas and Sunil plan a phoney kidnapping of their girlfriends, Ayesha and Mamta, which turns completely awry when a notorious terrorist intervenes.",Not Rated,02 Jul 1993,148 min,"Action, Comedy, Romance",Bharat Rangachary,Rumi Jaffery,"Akshay Kumar, Suniel Shetty, Ayesha Jhulka","Two friends Vikas Kumar Sabkuchwala and Sunil Choudhary decides to arrange the fake kidnapping of the two girls Ayesha and Mamta; they are in love with; so as to convince the girls father that they can make good son-in-law as well as meet with his demands at the same time. Only to learn that there plans goes hay-wild when the girls are kidnapped by international terrorist, Colonel Chikara - which changes their lives forever.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMjMzZWJjNmQtYTc5MS00MTNlLWFjMTMtNDI1YjdmNzZjMTgwXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.9/10""}]",N/A,5.9,"1,745",tt0290331,movie,N/A,N/A,N/A,N/A,,,0014,jpg
Aflatoon,1994,1h 51m  ,Action         ,"A principled officer’s eldest son, Vikas is killed in a planned accident. While the family is grief-stricken, the younger son, Vishal goes rogue.",,,,,,,,,,,,,,,,,,,,,,,Movie not found!,,0015,
Coolie No. 1                             ,1995,2h 16m  ,Comedy         ,"When insulted by Choudhry Hoshiarchand, Shaadiram, a matchmaker gets a coolie to pose as a millionaire and marry Hoshiarchand’s daughter.",Not Rated,30 Jun 1995,143 min,"Action, Comedy, Romance",David Dhawan,"Rumi Jaffery, Kader Khan","Govinda, Karisma Kapoor, Harish",In order to avenge his insult against wealthy Hoshiarchand Choudhary; Pandit Shaadiram Gharjodhe asks Raju; a coolie by profession to masquerade as a wealthy business tycoon so that he can get marry to Choudhary's daughter Malti. Choudhary does accept the match and the wedding of Raju and Malti are celebrated. After the wedding Raju will find that he might as well have to pretend all his life as gradually Choudhary begins to suspect him especially when he gets caught by Choudhary at the bus station working as a coolie.,Hindi,India,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMzhiOTg5N2ItZmYyMi00OTFhLTg4NjEtYzhiZjNhMTc2YmNlXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.6/10""}]",N/A,6.6,"5,856",tt0101616,movie,N/A,N/A,N/A,N/A,,,0016,jpg
Haqeeqat                                 ,1995,2h 27m  ,Action         ,"Sudha, a widow, is rescued by Ajay from being molested. They fall in love and decide to get married. But is she making a terrible mistake?",Not Rated,20 Dec 1995,166 min,"Action, Drama, Romance",Kuku Kohli,"Nawab Arzoo, Gulshan Bawra, Maya Govind","Ajay Devgn, Tabu, Aruna Irani","After her husband, Ravi Malhotra, is killed, Sudha lives the life of a widow with her brother, Mahesh, and Bhabhi, Kamini. A new tenant, Ajay, comes to her rescue when she is molested by Bhavani's brother, both fall in love and decide to get married. Kamini initially opposes this match, but subsequently relents and both get married. Shortly thereafter she gets pregnant and it is then she finds out that Ajay is not who he claims to be, and may have been responsible for killing her husband.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BNjNjMWE3MWEtZDAyMS00Y2Q5LWI3OTUtZGFhZTNlOTIwYTkzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""4.6/10""}]",N/A,4.6,392,tt0286672,movie,N/A,N/A,N/A,N/A,,,0017,
Gundaraj                                 ,1995,2h 19m  ,Action         ,Ajay is wrongly convicted as a rapist and sent to prison for seven years. After four years he’s out for good behaviour but seeks revenge.,N/A,07 Sep 1995,140 min,"Action, Drama",Guddu Dhanoa,"Anees Bazmee, Robin Henry","Ajay Devgn, Amrish Puri, Kajol","Ajay Chauvan lives with his parents and a younger sister. Ajay loves Pooja and hopes to get marry to her one day; he prepares a job application and send it to various places but in the mean-while he stages dance programs and performs in street fights to meet his family needs. A few days later he receive a letter informing him that he must present himself for an interview pertaining a job in Bombay. He does attend the interview only to be selected for the job; satisfy with this Ajay decides to offer prayers at a near-by temple only to find himself arrested by the police, tortured and accused of raping 3 young girls. The case is then called up in a court of law where-by Ajay is found guilty and is sentenced to 4 years imprisonment. After completing his sentence Ajay return home only to find that nothing is the same anymore his dad and fiancée has committed suicide, his mother is living a destitute life while his sister loses her mental balance and is confined in a mental asylum prompting Ajay to start his own investigations with the help of a police officer whose daughter was one of the rape victims. After concluding his investigations Ajay is willing to leave no stone unturned in punishing the real perpetrators of the crime he was wrongly punish for.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BMjAyNTIxOTE4OF5BMl5BanBnXkFtZTcwOTk5OTA0MQ@@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""4.2/10""}]",N/A,4.2,461,tt0375791,movie,N/A,N/A,N/A,N/A,,,0018,jpg
Raja                                     ,1995,2h 31m  ,Drama          ,Raja and Madhu must fight for their love against her brothers. Can they win over hate with their love? - ok,Not Rated,N/A,168 min,"Action, Comedy, Drama",Indra Kumar,"Rajeev Kaul, Tanveer Khan, Naushir Khatau","Sanjay Kapoor, Madhuri Dixit, Mukesh Khanna","Rana Mahednra Pratap Garewal (Mukesh Khanna) is a wealthy businessman along with his brother Vishwa (Dalip Tahil). They are both good friends with Brijnath (Paresh Rawal) who is not as wealthy. Rana's younger sister Madhu (Madhuri Dixit) is a good friend of Brijnath's younger brother Raja (Sanjay Kapoor). Seeing this Rana and Birju both arrange for Raja and Madhu to marry when they are older but Rana quickly backs out and insults Birju because of his social status. A accident causes Birju to become mental. Many years have passed and Raja and Madhu soon meet each other and fall in love. However Rana and Vishwa are determined to keep Madhu away from Raja. Eventually Rana gives in and accepts Raja into the family. When Raja leaves the city for a few days, Birju is invited to stay at the Garewal mansion. However, Madhu accuses Birju of rape when she is attacked by him. Rana immediately sends Birju to a mental hospital and Raja is forced to make a choice between his love and his brother. Believing in Birju innocence he breaks off his engagement with her. Madhu does not know that her own brothes had set Birju up so it looked like he had attacked her but in fact it was someone else who attacked her. Will Madhu find out what her brothers did? Will Raja be re-united with her?",Hindi,India,2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BNjMyYmE3YWUtMjMzOS00OTE0LWIwYWUtNDVmMDBkMmFkMzVjXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.0/10""}]",N/A,5.0,"1,055",tt0114230,movie,N/A,N/A,N/A,N/A,,,0019,jpg
Ziddi                                    ,1997,2h 29m  ,Action         ,Deva’s life is shattered when the police implicate him in the murder of his brother and sister. Will he be able to prove his innocence?,Not Rated,11 Apr 1997,170 min,"Action, Drama",Guddu Dhanoa,"Robin Henry, Dilip Shukla","Sunny Deol, Raveena Tandon, Anupam Kher","Omnipresent Bollywood acting dynamo Sunny Deol stars as Deva, the son of an honest lawyer (Anupam Kher) who lives with his brother, Aakash (Sachin Khedekar), and his beloved sister, Guddi (Richa Behl). Imprisoned after a man touches Guddi and sets off his violent, jealous rage, Deva falls into a life of crime, quickly rising to the top of the city's criminal underworld--much to the chagrin of the other crime bosses, who plot his murder. Their attempt to frame him for the murder of an important Minister doesn't go as planned, and Deva suddenly finds himself on the run, with the minister as a hostage, and his brother and sister murdered.",Hindi,India,1 nomination,https://m.media-amazon.com/images/M/MV5BOTNjMWU2NzAtYjY1ZS00YjVjLTk5NDAtNTIxZjgyOWY0N2FhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.9/10""}]",N/A,5.9,"1,838",tt0120551,movie,N/A,N/A,N/A,N/A,,,0020,
Hero No. 1                               ,1997,2h 13m  ,Comedy         ,"Much-in-love Rajesh and Meena decide to get married. When her parents object, Rajesh decides to win them over in the quirkiest way possible.",Not Rated,21 Feb 1997,134 min,"Comedy, Drama, Musical",David Dhawan,Rumi Jaffery,"Govinda, Karisma Kapoor, Kader Khan","Two young Indians, Meena and Rajesh, meet in Europe and fall in love with each other, promising to get married when they return back to India. When they return home, Rajesh tells his dad about Meena, and they go to meet with Meena's dad. During this meeting, both fathers get into an argument, and refuse to permit the young couple to get married. No amount of persuasion gets them to change their minds. Then Rajesh, with Meena's help, decides to work as a servant in Meena's household - with a view of winning over her father, and thus finding a solution to their wedding problems. Will Rajesh succeed in fooling Meena's shrewd father?",Hindi,India,3 nominations,https://m.media-amazon.com/images/M/MV5BZWI3ZjlkMjUtODZiZS00YWY4LWE2OTQtMWQyYTQ1YmM3YTVlXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.3/10""}]",N/A,6.3,"3,512",tt0119285,movie,N/A,N/A,N/A,N/A,,,0021,jpg
Ishq                                     ,1997,2h 36m  ,Comedy         ,"When Ajay and Madhu's rich dads oppose their relationship with Kajal and Raja because they are poor, the four rally behind their love and concoct ways to rebel.",N/A,28 Nov 1997,161 min,"Action, Comedy, Drama",Indra Kumar,"Rajeev Kaul, Tanveer Khan, Naushir Khatau","Aamir Khan, Ajay Devgn, Juhi Chawla","Harbans Rai and Ranjit Rai are two wealthy businessmen who absolutely *loathe* poverty and poor people . As fate would have it , Harbans Rai's daughter Madhu falls for a poor mechanic Raja while Ranjit Rai's son Ajay romances a poor girl Kajal . When Harbans and Ranjit come to know of it they try various ways to separate the lovers .",Hindi,India,9 nominations total,https://m.media-amazon.com/images/M/MV5BYWE5NTNkZWItY2UxYi00Mjk4LWI5OWUtOGFjMWI4Mjg1MmMwXkEyXkFqcGc@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""6.8/10""}]",N/A,6.8,"12,674",tt0133024,movie,N/A,N/A,N/A,N/A,,,0022,jpg
Salaakhen                                ,1998,2h 41m  ,Action         ,"An ageing man testifies in a rape case, but the culprit’s family torments him to death. Soon, his son leads a war against unjust wherein revenge is inevitable.",N/A,24 Apr 1998,165 min,"Action, Drama",Guddu Dhanoa,Dilip Shukla,"Sunny Deol, Raveena Tandon, Manisha Koirala","School-master, Sachidanand Agnihotri lives a middle-class life-style with his family consisting of his wife, Gayetri and son, Vishal. Sachidanand is honest to the core and thus he is unable to keep any permanent job as his honest policy is regarded as a liability. One day he witness Nagesh the son of a wealthy, influential and corrupt social worker, Jaspal Rana raping a female. His attempts to involve the police in this matter only leads to frustration; unable to witness the injustice done to his father Vishal decides to take a stand only to be thrown behind bars. The case is then call up in court and on the advice of advocate, Ashok Pradhan, Jaspal and his men decides to create such situations that Sachidanand find hard to comprehend which weakens him making him unable to explain things in the right manner; thus Pradhan is able to prove to the court that Sachidanand is mentally unfit - under intense pressure Sachidanand commit suicide. Vishal then escapes from prison with an objective of bringing to justice all those who were responsible for his dad's death.",Hindi,India,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BMGYwODg5ZDktZjYyYS00OGE5LTk2ZGQtMTc5ZmZmZTFiM2ZkXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{""Source"": ""Internet Movie Database"", ""Value"": ""5.4/10""}]",N/A,5.4,550,tt0286936,movie,N/A,N/A,N/A,N/A,,,0023,jpg
